DATE,government_balance,private_balance,foreign_balance,gdp,non_gov_balance,government_pct_gdp,private_pct_gdp,foreign_pct_gdp,non_gov_pct_gdp
1990-01-01,-306.985,216.104,90.039,5872.701,306.14300000000003,-5.22732214699846,3.679805935973924,1.5331786855826646,5.212984621556589
1990-04-01,-316.026,243.003,72.861,5960.028,315.864,-5.302424753709211,4.077212388935085,1.2224942567383912,5.299706645673476
1990-07-01,-316.719,234.196,82.374,6015.116,316.57,-5.265384740709904,3.8934577487782445,1.3694498992205637,5.262907647998809
1990-10-01,-365.662,283.013,54.31,6004.733,337.323,-6.0895630163739165,4.7131654313355815,0.9044532038310445,5.617618635166625
1991-01-01,-319.252,361.388,-46.579,6035.178,314.80899999999997,-5.28985226284958,5.988025539594689,-0.7717916522097608,5.216233887384929
1991-04-01,-382.8,397.002,-14.772,6126.862,382.23,-6.247896557813771,6.479695478696926,-0.24110221513068192,6.238593263566243
1991-07-01,-420.684,391.65,13.029,6205.937,404.679,-6.7787346213794955,6.310892295555047,0.20994412286170486,6.520836418416751
1991-10-01,-426.871,409.908,16.792,6264.54,426.70000000000005,-6.814083715643926,6.543305653727169,0.2680484121739186,6.811354065901089
1992-01-01,-466.503,444.501,21.789,6363.102,466.28999999999996,-7.331377054776113,6.985602305290722,0.34242732554027894,7.328029630831001
1992-04-01,-470.178,430.373,39.39,6470.763,469.763,-7.266191019513465,6.651039452379881,0.6087381039917549,7.259777556371636
1992-07-01,-486.687,439.931,52.7,6566.641,492.631,-7.411506126191459,6.699483038588527,0.8025412079021832,7.50202424649071
1992-10-01,-475.838,407.212,68.42,6680.803,475.632,-7.1224671645010345,6.095255315865472,1.0241283869618667,7.1193837028273395
1993-01-01,-477.426,417.464,57.319,6729.459,474.783,-7.0945673344618045,6.203529882565597,0.8517623779266655,7.055292260492263
1993-04-01,-442.464,367.763,74.495,6808.939,442.258,-6.498281156579608,5.4011792439321304,1.094076477994589,6.4952557219267195
1993-07-01,-447.83,369.969,77.413,6882.098,447.382,-6.50717266740462,5.375817083685818,1.1248459408744251,6.500663024560243
1993-10-01,-400.181,291.732,108.25,7013.738,399.982,-5.705673636511657,4.159436808161355,1.5433995395893032,5.702836347750658
1994-01-01,-375.055,281.915,92.966,7115.652,374.88100000000003,-5.270845173428942,3.961899766880112,1.3065000930343416,5.268399859914454
1994-04-01,-350.792,237.978,109.2,7246.931,347.178,-4.840559403697924,3.2838452580823523,1.5068447595264811,4.790690017608834
1994-07-01,-371.449,248.679,121.699,7331.075,370.378,-5.06677397243924,3.3921218920826757,1.6600430359803986,5.052164928063074
1994-10-01,-375.617,236.864,138.529,7455.288,375.39300000000003,-5.038262774020267,3.1771274295506764,1.8581307657061672,5.035258195256844
1995-01-01,-376.653,257.187,119.224,7522.289,376.411,-5.007159389914427,3.4189991902730674,1.584943093784352,5.003942284057419
1995-04-01,-380.728,261.611,119.383,7580.997,380.99399999999997,-5.022136270466801,3.4508785585853676,1.5747664851997698,5.025645043785137
1995-07-01,-342.941,241.17,99.788,7683.125,340.95799999999997,-4.463561376393069,3.1389571300740258,1.2987944358578052,4.437751565931831
1995-10-01,-332.59,247.815,85.053,7772.586,332.868,-4.279013445460751,3.1883211070292434,1.0942690116262463,4.28259011865549
1996-01-01,-337.25,234.095,102.927,7868.468,337.022,-4.286094828116477,2.9751026502236524,1.3080945363188872,4.283197186542539
1996-04-01,-293.407,183.861,109.343,8032.84,293.204,-3.652593603258623,2.28886670218752,1.3611997749239373,3.6500664771114577
1996-07-01,-277.351,143.632,133.528,8131.408,277.15999999999997,-3.410860702107187,1.7663853541723646,1.6421264312404442,3.4085117854128084
1996-10-01,-234.807,120.314,114.297,8259.771,234.611,-2.842778570979752,1.4566263398827883,1.3837792839535137,2.8404056238363022
1997-01-01,-218.994,86.742,131.958,8362.655,218.7,-2.618713793645678,1.0372543169603434,1.5779438467807172,2.6151981637410606
1997-04-01,-175.223,72.756,101.888,8518.825,174.644,-2.0568916487895925,0.854061446267531,1.1960334905341994,2.0500949368017305
1997-07-01,-160.386,36.935,122.775,8662.823,159.71,-1.8514288009809272,0.42636216854482656,1.4172631716012205,1.843625340146047
1997-10-01,-165.017,0.897,163.759,8765.907,164.65599999999998,-1.88248631887151,0.010232825878713978,1.8681352654095007,1.8783680912882146
1998-01-01,-106.134,-58.943,164.861,8866.48,105.91799999999999,-1.1970252005305375,-0.6647846721585117,1.8593737311762955,1.194589059017784
1998-04-01,-93.802,-102.473,196.078,8969.699,93.605,-1.0457653038301509,-1.1424352143812182,2.186004234924717,1.0435690205434986
1998-07-01,-74.814,-150.082,224.625,9121.097,74.543,-0.8202302858965319,-1.6454380432529112,2.4626971953044685,0.8172591520515571
1998-10-01,-65.912,-170.095,235.78,9293.991,65.685,-0.7091894106632985,-1.830161014789018,2.536907987106938,0.7067469723179203
1999-01-01,-56.913,-178.69,234.237,9411.682,55.547,-0.6047059388534376,-1.8985979339293442,2.488789995242083,0.5901920613127387
1999-04-01,-46.848,-217.069,262.217,9526.21,45.147999999999996,-0.49178004683919424,-2.278650166225603,2.7525847110235864,0.47393454479798364
1999-07-01,-41.733,-253.282,293.375,9686.626,40.09299999999999,-0.43083112737087187,-2.614759772907512,3.028660340556144,0.41390056764863215
1999-10-01,-53.421,-285.419,316.669,9900.169,31.25,-0.5395968493063099,-2.8829709876669782,3.19862216493476,0.315651177267782
2000-01-01,59.477,-432.386,370.518,10002.179,-61.86800000000005,0.5946404278507713,-4.322918036159921,3.7043728171631396,-0.618545218996781
2000-04-01,38.339,-419.634,379.498,10247.72,-40.136000000000024,0.37412224377715236,-4.094901109710258,3.7032432580125136,-0.39165785169774375
2000-07-01,31.627,-452.053,416.788,10318.165,-35.264999999999986,0.30651768022705583,-4.381137537536955,4.039361650060839,-0.341775887476116
2000-10-01,-0.765,-430.306,420.67,10435.744,-9.635999999999967,-0.007330574609725957,-4.123385932042794,4.031049439311658,-0.09233649273113605
2001-01-01,-37.135,-387.11,423.661,10470.231,36.55099999999999,-0.3546722130581455,-3.6972441200198927,4.04633861468768,0.349094494667787
2001-04-01,-116.856,-262.953,379.083,10599.0,116.13000000000005,-1.1025191055759975,-2.480922728559298,3.576592131333145,1.0956694027738472
2001-07-01,-345.26,-15.704,412.134,10598.02,396.43,-3.257778339727609,-0.1481786220444951,3.8887829990885088,3.7406043770440136
2001-10-01,-306.313,-46.675,350.783,10660.465,304.108,-2.8733549615331038,-0.43783268365873346,3.2905037444426677,2.852671060783934
2002-01-01,-519.843,106.425,404.443,10783.5,510.868,-4.8207261093337035,0.9869244679371262,3.7505726341169376,4.737497102054064
2002-04-01,-571.963,113.8,456.414,10887.46,570.2139999999999,-5.253410804723967,1.0452392017972971,4.192107249992193,5.23734645178949
2002-07-01,-591.112,127.589,461.697,10984.04,589.2860000000001,-5.381553599586308,1.161585354751075,4.203344124748271,5.364929479499346
2002-10-01,-657.199,153.805,499.21,11061.433,653.015,-5.941354976339864,1.3904617964055832,4.513068062700375,5.903529859105958
2003-01-01,-702.218,147.91,546.387,11174.129,694.2969999999999,-6.284319789041275,1.323682588593706,4.889750243620777,6.213432832214483
